Year,Latitude,Longitude,baa3_n_pre,baa4_n_pre,baa_mean_pre,baa3_n_post,baa4_n_post,baa_mean_post
2016,-4.3314832,55.6620239,1,1,2,2,1,2.166666667
2016,-17.8483187,178.0118473,3,0,2,1,0,2
2016,19.7519321,-70.5189177,0,0,1.666666667,1,0,2
2016,5.2396042,72.9932969,1,0,1.5,1,0,1.833333333
2017,5.2862175,73.1120936,1,0,1.5,0,0,1.4
NA,5.9788398,116.0753199,0,0,0,0,0,0
NA,5.9788398,116.0753199,0,0,0,0,0,0
NA,5.9788398,116.0753199,0,0,0,0,0,0
2017,12.2387911,109.1967488,0,0,1.833333333,2,0,2.4
2010,10.0956102,99.8403959,1,0,1.833333333,1,0,1.833333333
2013,9.5120168,100.0135929,1,0,1.5,0,0,2
2000,11.6680759,102.5642261,0,0,1,0,0,1.666666667
2011,7.9519331,98.3380884,1,1,1.833333333,1,0,1.666666667
2012,9.5120168,100.0135929,1,0,1.5,0,0,1.833333333
2012,10.0956102,99.8403959,1,0,1.5,1,0,2
NA,10.0956102,99.8403959,0,0,0,1,0,0
NA,-8.2203232,117.5730639,0,0,0,1,0,0
NA,7.740738,98.77841,0,0,0,1,0,0
NA,5.2190041,103.2649049,0,0,0,1,0,0
2017,13.8076519,123.8500045,3,0,2.5,2,0,2.4
2017,14.0940383,120.6890055,5,2,3.166666667,5,3,3.6
2017,5.2396042,72.9932969,1,0,1.5,0,0,1.6
2017,5.2396042,72.9932969,1,0,1.5,0,0,1.6
2017,5.2396042,72.9932969,1,0,1.5,0,0,1.6
2017,4.1754959,73.5093474,1,1,1.833333333,0,0,1.6
2013,18.310394,-65.3030705,1,0,2,0,0,1.666666667
2012,25.0273356,-81.5357506,1,0,2,2,0,2.166666667
2017,-16.923792,145.990731,1,1,2,2,1,2.4
2018,-20.060883,148.956,1,0,1.833333333,1,1,1.75
2018,-20.043567,148.8819,1,0,1.833333333,1,1,1.75
2018,-15.982627,145.822773,2,0,2.166666667,1,0,2.25
