restored,lat,lon,remoteness,cumulative_impacts_mean,cumulative_impacts_trend,baa_n,baa_mean,baa_trend,coral_diversity,year_first_anomaly,number_of_anomalies_2100
1,18,-101.5,0.12239825,0,0,2,1.666666667,0.015701416,24,2048,73
1,1.5,103.5,0.036108926,2.532525739,0.017481808,0,1.361111111,-0.007335907,548,2063,41
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,23.5,121,0.14026669,1.349014242,0.053769064,2,1.611111111,0.023166023,412,2060,50
1,20,-80.5,0.87385446,1.114431373,0.019064838,1,1.5,0.018790219,60,2094,9
1,22.5,114,0.049122285,2.603388157,0.039538702,9,2.111111111,0.038352638,76,2051,68
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,-7.5,39.5,0.36576304,0.852591479,0.090437355,3,1.777777778,2.34E-17,277,2063,94
1,-7.5,39.5,0.36576304,0.852591479,0.090437355,3,1.777777778,2.34E-17,277,2063,94
1,30,-95.5,0.013965554,0,0,4,1.888888889,0.02960103,2,2020,203
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,21.5,-158,0.057469476,0.949685953,-0.021537738,1,0.861111111,-0.001415701,61,2050,115
1,16.5,120,0.042730417,1.667405961,0.092483665,5,1.666666667,0.02985843,565,2053,41
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,1.5,103.5,0.036108926,2.532525739,0.017481808,0,1.361111111,-0.007335907,548,2063,41
1,29.5,34.5,0.105041705,1.563972916,0.12491214,9,1.861111111,0.061132561,302,2021,142
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,1,123.5,0.27732182,1.045205304,0.085945245,1,1.694444444,-0.002702703,569,2082,21
1,1,123.5,0.27732182,1.045205304,0.085945245,1,1.694444444,-0.002702703,569,2082,21
1,18,-77,0.088772215,1.560672163,0.067260517,3,1.583333333,0.024839125,60,2084,22
1,18.5,-78.5,0.09497554,1.306947269,0.044456973,0,1.444444444,0.006435006,60,2088,17
1,18.5,-78.5,0.09497554,1.306947269,0.044456973,0,1.444444444,0.006435006,60,2088,17
1,18.5,-78.5,0.09497554,1.306947269,0.044456973,0,1.444444444,0.006435006,60,2088,17
1,18.5,-78.5,0.09497554,1.306947269,0.044456973,0,1.444444444,0.006435006,60,2088,17
1,26.5,-80.5,0.050284296,2.227195094,0.039336722,0,1.305555556,0.006048906,55,2044,65
1,18.5,-65.5,0.19203804,1.323503272,0.056709596,4,1.75,0.028442728,56,2067,46
1,-5,119,0.075512536,1.398243497,0.112890396,2,1.833333333,0.018532819,566,2036,81
